Region,Region Code,Year,Measure,Age,Value,Value Unit,Value Label,Null Reason
Northland,Northland Region,2001,Age in five-year groups for the census usually resident population count,0-4,10446,number,Number of people,
Northland,Northland Region,2001,Age in five-year groups for the census usually resident population count,5-9,12210,number,Number of people,
Northland,Northland Region,2001,Age in five-year groups for the census usually resident population count,10-14,12522,number,Number of people,
Northland,Northland Region,2001,Age in five-year groups for the census usually resident population count,15-19,9204,number,Number of people,
Northland,Northland Region,2001,Age in five-year groups for the census usually resident population count,20-24,6213,number,Number of people,
Northland,Northland Region,2001,Age in five-year groups for the census usually resident population count,25-29,7134,number,Number of people,
Northland,Northland Region,2001,Age in five-year groups for the census usually resident population count,30-34,8805,number,Number of people,
Northland,Northland Region,2001,Age in five-year groups for the census usually resident population count,35-39,10296,number,Number of people,
Northland,Northland Region,2001,Age in five-year groups for the census usually resident population count,40-44,10698,number,Number of people,
Northland,Northland Region,2001,Age in five-year groups for the census usually resident population count,45-49,9642,number,Number of people,
Northland,Northland Region,2001,Age in five-year groups for the census usually resident population count,50-54,9321,number,Number of people,
Northland,Northland Region,2001,Age in five-year groups for the census usually resident population count,55-59,7818,number,Number of people,
Northland,Northland Region,2001,Age in five-year groups for the census usually resident population count,60-64,7122,number,Number of people,
Northland,Northland Region,2001,Age in five-year groups for the census usually resident population count,65-*,18702,number,Number of people,
Northland,Northland Region,2001,Age in five-year groups for the census usually resident population count,Total people,140130,number,Number of people,
Northland,Northland Region,2006,Age in five-year groups for the census usually resident population count,0-4,10272,number,Number of people,
Northland,Northland Region,2006,Age in five-year groups for the census usually resident population count,5-9,11559,number,Number of people,
Northland,Northland Region,2006,Age in five-year groups for the census usually resident population count,10-14,12948,number,Number of people,
Northland,Northland Region,2006,Age in five-year groups for the census usually resident population count,15-19,10560,number,Number of people,
Northland,Northland Region,2006,Age in five-year groups for the census usually resident population count,20-24,6600,number,Number of people,
Northland,Northland Region,2006,Age in five-year groups for the census usually resident population count,25-29,6327,number,Number of people,
Northland,Northland Region,2006,Age in five-year groups for the census usually resident population count,30-34,8274,number,Number of people,
Northland,Northland Region,2006,Age in five-year groups for the census usually resident population count,35-39,9963,number,Number of people,
Northland,Northland Region,2006,Age in five-year groups for the census usually resident population count,40-44,11127,number,Number of people,
Northland,Northland Region,2006,Age in five-year groups for the census usually resident population count,45-49,11256,number,Number of people,
Northland,Northland Region,2006,Age in five-year groups for the census usually resident population count,50-54,10200,number,Number of people,
Northland,Northland Region,2006,Age in five-year groups for the census usually resident population count,55-59,9798,number,Number of people,
Northland,Northland Region,2006,Age in five-year groups for the census usually resident population count,60-64,8127,number,Number of people,
Northland,Northland Region,2006,Age in five-year groups for the census usually resident population count,65-*,21459,number,Number of people,
Northland,Northland Region,2006,Age in five-year groups for the census usually resident population count,Total people,148470,number,Number of people,
Northland,Northland Region,2013,Age in five-year groups for the census usually resident population count,0-4,10659,number,Number of people,
Northland,Northland Region,2013,Age in five-year groups for the census usually resident population count,5-9,11019,number,Number of people,
Northland,Northland Region,2013,Age in five-year groups for the census usually resident population count,10-14,11070,number,Number of people,
Northland,Northland Region,2013,Age in five-year groups for the census usually resident population count,15-19,9630,number,Number of people,
Northland,Northland Region,2013,Age in five-year groups for the census usually resident population count,20-24,7056,number,Number of people,
Northland,Northland Region,2013,Age in five-year groups for the census usually resident population count,25-29,6657,number,Number of people,
Northland,Northland Region,2013,Age in five-year groups for the census usually resident population count,30-34,6591,number,Number of people,
Northland,Northland Region,2013,Age in five-year groups for the census usually resident population count,35-39,7902,number,Number of people,
Northland,Northland Region,2013,Age in five-year groups for the census usually resident population count,40-44,9834,number,Number of people,
Northland,Northland Region,2013,Age in five-year groups for the census usually resident population count,45-49,10632,number,Number of people,
Northland,Northland Region,2013,Age in five-year groups for the census usually resident population count,50-54,11502,number,Number of people,
Northland,Northland Region,2013,Age in five-year groups for the census usually resident population count,55-59,10914,number,Number of people,
