Year,Region,Region Code,Industry,Industry Code,Measure,Gas type,Value,Value Unit,Value Label,Null Reason
2007,Auckland,Auckland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,811.63,number,Kilotonnes of CO2 equivalent,
2008,Auckland,Auckland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,777.95,number,Kilotonnes of CO2 equivalent,
2009,Auckland,Auckland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,684,number,Kilotonnes of CO2 equivalent,
2010,Auckland,Auckland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,706.56,number,Kilotonnes of CO2 equivalent,
2011,Auckland,Auckland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,764.3,number,Kilotonnes of CO2 equivalent,
2012,Auckland,Auckland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,725.02,number,Kilotonnes of CO2 equivalent,
2013,Auckland,Auckland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,707.4,number,Kilotonnes of CO2 equivalent,
2014,Auckland,Auckland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,678.92,number,Kilotonnes of CO2 equivalent,
2015,Auckland,Auckland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,744.83,number,Kilotonnes of CO2 equivalent,
2016,Auckland,Auckland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,901.67,number,Kilotonnes of CO2 equivalent,
2017,Auckland,Auckland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,804.66,number,Kilotonnes of CO2 equivalent,
2018,Auckland,Auckland Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,755.06,number,Kilotonnes of CO2 equivalent,
2007,Bay of Plenty,Bay of Plenty Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1415.8,number,Kilotonnes of CO2 equivalent,
2008,Bay of Plenty,Bay of Plenty Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1403.29,number,Kilotonnes of CO2 equivalent,
2009,Bay of Plenty,Bay of Plenty Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1344.11,number,Kilotonnes of CO2 equivalent,
2010,Bay of Plenty,Bay of Plenty Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1374.03,number,Kilotonnes of CO2 equivalent,
2011,Bay of Plenty,Bay of Plenty Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1477.94,number,Kilotonnes of CO2 equivalent,
2012,Bay of Plenty,Bay of Plenty Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1460.33,number,Kilotonnes of CO2 equivalent,
2013,Bay of Plenty,Bay of Plenty Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1437.02,number,Kilotonnes of CO2 equivalent,
2014,Bay of Plenty,Bay of Plenty Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1471.69,number,Kilotonnes of CO2 equivalent,
2015,Bay of Plenty,Bay of Plenty Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1605.91,number,Kilotonnes of CO2 equivalent,
2016,Bay of Plenty,Bay of Plenty Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1513.02,number,Kilotonnes of CO2 equivalent,
2017,Bay of Plenty,Bay of Plenty Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1532.77,number,Kilotonnes of CO2 equivalent,
2018,Bay of Plenty,Bay of Plenty Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1450.77,number,Kilotonnes of CO2 equivalent,
2007,Canterbury,Canterbury Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,6749.95,number,Kilotonnes of CO2 equivalent,
2008,Canterbury,Canterbury Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,6484.67,number,Kilotonnes of CO2 equivalent,
2009,Canterbury,Canterbury Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,6471.36,number,Kilotonnes of CO2 equivalent,
2010,Canterbury,Canterbury Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,6510.42,number,Kilotonnes of CO2 equivalent,
2011,Canterbury,Canterbury Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,6823.16,number,Kilotonnes of CO2 equivalent,
2012,Canterbury,Canterbury Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,7288.23,number,Kilotonnes of CO2 equivalent,
2013,Canterbury,Canterbury Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,7624.28,number,Kilotonnes of CO2 equivalent,
2014,Canterbury,Canterbury Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,7548.4,number,Kilotonnes of CO2 equivalent,
2015,Canterbury,Canterbury Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,7339.6,number,Kilotonnes of CO2 equivalent,
2016,Canterbury,Canterbury Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,7297.02,number,Kilotonnes of CO2 equivalent,
2017,Canterbury,Canterbury Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,7491.55,number,Kilotonnes of CO2 equivalent,
2018,Canterbury,Canterbury Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,7832.53,number,Kilotonnes of CO2 equivalent,
2007,Gisborne,Gisborne Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1233.68,number,Kilotonnes of CO2 equivalent,
2008,Gisborne,Gisborne Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1206.11,number,Kilotonnes of CO2 equivalent,
2009,Gisborne,Gisborne Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1092.52,number,Kilotonnes of CO2 equivalent,
2010,Gisborne,Gisborne Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1098.46,number,Kilotonnes of CO2 equivalent,
2011,Gisborne,Gisborne Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1133.25,number,Kilotonnes of CO2 equivalent,
2012,Gisborne,Gisborne Region,Agriculture,A01,Greenhouse gas emissions,Carbon dioxide equivalents,1146.01,number,Kilotonnes of CO2 equivalent,
