Year,Region,Region Code,Livestock type,Value,Value Unit,Value Label,Null Reason
1990,Auckland,Auckland Region,Beef cattle,3152572.892,number,Kilograms of nitrogen leached,
1991,Auckland,Auckland Region,Beef cattle,3129363.553,number,Kilograms of nitrogen leached,
1992,Auckland,Auckland Region,Beef cattle,2973299.252,number,Kilograms of nitrogen leached,
1993,Auckland,Auckland Region,Beef cattle,2093521.595,number,Kilograms of nitrogen leached,
1994,Auckland,Auckland Region,Beef cattle,2326801.582,number,Kilograms of nitrogen leached,
1995,Auckland,Auckland Region,Beef cattle,2391236.891,number,Kilograms of nitrogen leached,
1996,Auckland,Auckland Region,Beef cattle,2005136.686,number,Kilograms of nitrogen leached,
1997,Auckland,Auckland Region,Beef cattle,0,number,Kilograms of nitrogen leached,
1998,Auckland,Auckland Region,Beef cattle,0,number,Kilograms of nitrogen leached,
1999,Auckland,Auckland Region,Beef cattle,1945534.842,number,Kilograms of nitrogen leached,
2000,Auckland,Auckland Region,Beef cattle,0,number,Kilograms of nitrogen leached,
2001,Auckland,Auckland Region,Beef cattle,0,number,Kilograms of nitrogen leached,
2002,Auckland,Auckland Region,Beef cattle,1876211.637,number,Kilograms of nitrogen leached,
2003,Auckland,Auckland Region,Beef cattle,1960231.187,number,Kilograms of nitrogen leached,
2004,Auckland,Auckland Region,Beef cattle,1807530.717,number,Kilograms of nitrogen leached,
2005,Auckland,Auckland Region,Beef cattle,1827441.543,number,Kilograms of nitrogen leached,
2006,Auckland,Auckland Region,Beef cattle,1608411.568,number,Kilograms of nitrogen leached,
2007,Auckland,Auckland Region,Beef cattle,1706811.764,number,Kilograms of nitrogen leached,
2008,Auckland,Auckland Region,Beef cattle,1560708.32,number,Kilograms of nitrogen leached,
2009,Auckland,Auckland Region,Beef cattle,1469721.614,number,Kilograms of nitrogen leached,
2010,Auckland,Auckland Region,Beef cattle,1458726.57,number,Kilograms of nitrogen leached,
2011,Auckland,Auckland Region,Beef cattle,1310010.443,number,Kilograms of nitrogen leached,
2012,Auckland,Auckland Region,Beef cattle,1278669.126,number,Kilograms of nitrogen leached,
2013,Auckland,Auckland Region,Beef cattle,1260902.877,number,Kilograms of nitrogen leached,
2014,Auckland,Auckland Region,Beef cattle,1298362.228,number,Kilograms of nitrogen leached,
2015,Auckland,Auckland Region,Beef cattle,1211544.929,number,Kilograms of nitrogen leached,
2016,Auckland,Auckland Region,Beef cattle,1324739.446,number,Kilograms of nitrogen leached,
2017,Auckland,Auckland Region,Beef cattle,1218686.265,number,Kilograms of nitrogen leached,
1990,Auckland,Auckland Region,Dairy cattle,4854864.551,number,Kilograms of nitrogen leached,
1991,Auckland,Auckland Region,Dairy cattle,4792031.198,number,Kilograms of nitrogen leached,
1992,Auckland,Auckland Region,Dairy cattle,4792263.68,number,Kilograms of nitrogen leached,
1993,Auckland,Auckland Region,Dairy cattle,3554068.319,number,Kilograms of nitrogen leached,
1994,Auckland,Auckland Region,Dairy cattle,3566558.904,number,Kilograms of nitrogen leached,
1995,Auckland,Auckland Region,Dairy cattle,3718686.208,number,Kilograms of nitrogen leached,
1996,Auckland,Auckland Region,Dairy cattle,3430874.369,number,Kilograms of nitrogen leached,
1997,Auckland,Auckland Region,Dairy cattle,0,number,Kilograms of nitrogen leached,
1998,Auckland,Auckland Region,Dairy cattle,0,number,Kilograms of nitrogen leached,
1999,Auckland,Auckland Region,Dairy cattle,2789078.06,number,Kilograms of nitrogen leached,
2000,Auckland,Auckland Region,Dairy cattle,0,number,Kilograms of nitrogen leached,
2001,Auckland,Auckland Region,Dairy cattle,0,number,Kilograms of nitrogen leached,
2002,Auckland,Auckland Region,Dairy cattle,3172080.421,number,Kilograms of nitrogen leached,
2003,Auckland,Auckland Region,Dairy cattle,3541302.982,number,Kilograms of nitrogen leached,
2004,Auckland,Auckland Region,Dairy cattle,2993048.692,number,Kilograms of nitrogen leached,
2005,Auckland,Auckland Region,Dairy cattle,2578745.895,number,Kilograms of nitrogen leached,
2006,Auckland,Auckland Region,Dairy cattle,2583374.386,number,Kilograms of nitrogen leached,
2007,Auckland,Auckland Region,Dairy cattle,2395487.233,number,Kilograms of nitrogen leached,
2008,Auckland,Auckland Region,Dairy cattle,2449148.142,number,Kilograms of nitrogen leached,
2009,Auckland,Auckland Region,Dairy cattle,1994921.967,number,Kilograms of nitrogen leached,
2010,Auckland,Auckland Region,Dairy cattle,2079988.985,number,Kilograms of nitrogen leached,
2011,Auckland,Auckland Region,Dairy cattle,2742602.936,number,Kilograms of nitrogen leached,
2012,Auckland,Auckland Region,Dairy cattle,2478694.401,number,Kilograms of nitrogen leached,
2013,Auckland,Auckland Region,Dairy cattle,2330899.703,number,Kilograms of nitrogen leached,
2014,Auckland,Auckland Region,Dairy cattle,2115283.872,number,Kilograms of nitrogen leached,
2015,Auckland,Auckland Region,Dairy cattle,2634816.155,number,Kilograms of nitrogen leached,
2016,Auckland,Auckland Region,Dairy cattle,3496032.534,number,Kilograms of nitrogen leached,
2017,Auckland,Auckland Region,Dairy cattle,2796602,number,Kilograms of nitrogen leached,
