Year,Measure,Language group,Language,Language Code,Gender,Age group,Value,Value Unit,Value Label,Null Reason
2010,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,*-17,160,number,Number of students,
2011,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,*-17,250,number,Number of students,
2012,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,*-17,245,number,Number of students,
2013,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,*-17,230,number,Number of students,
2014,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,*-17,220,number,Number of students,
2015,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,*-17,290,number,Number of students,
2016,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,*-17,240,number,Number of students,
2017,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,*-17,185,number,Number of students,
2018,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,*-17,140,number,Number of students,
2019,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,*-17,75,number,Number of students,
2010,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,*-17,15,number,Equivalent full-time students,
2011,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,*-17,20,number,Equivalent full-time students,
2012,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,*-17,20,number,Equivalent full-time students,
2013,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,*-17,20,number,Equivalent full-time students,
2014,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,*-17,20,number,Equivalent full-time students,
2015,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,*-17,25,number,Equivalent full-time students,
2016,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,*-17,20,number,Equivalent full-time students,
2017,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,*-17,15,number,Equivalent full-time students,
2018,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,*-17,10,number,Equivalent full-time students,
2019,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,*-17,10,number,Equivalent full-time students,
2010,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,18-24,990,number,Number of students,
2011,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,18-24,740,number,Number of students,
2012,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,18-24,635,number,Number of students,
2013,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,18-24,575,number,Number of students,
2014,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,18-24,680,number,Number of students,
2015,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,18-24,855,number,Number of students,
2016,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,18-24,975,number,Number of students,
2017,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,18-24,820,number,Number of students,
2018,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,18-24,990,number,Number of students,
2019,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,18-24,1450,number,Number of students,
2010,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,18-24,175,number,Equivalent full-time students,
2011,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,18-24,120,number,Equivalent full-time students,
2012,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,18-24,105,number,Equivalent full-time students,
2013,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,18-24,105,number,Equivalent full-time students,
2014,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,18-24,145,number,Equivalent full-time students,
2015,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,18-24,180,number,Equivalent full-time students,
2016,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,18-24,230,number,Equivalent full-time students,
2017,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,18-24,165,number,Equivalent full-time students,
2018,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,18-24,225,number,Equivalent full-time students,
2019,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,18-24,295,number,Equivalent full-time students,
2010,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,25-39,310,number,Number of students,
2011,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,25-39,250,number,Number of students,
2012,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,25-39,235,number,Number of students,
2013,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,25-39,195,number,Number of students,
2014,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,25-39,270,number,Number of students,
2015,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,25-39,350,number,Number of students,
2016,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,25-39,375,number,Number of students,
2017,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,25-39,395,number,Number of students,
2018,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,25-39,455,number,Number of students,
2019,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,25-39,515,number,Number of students,
2010,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,25-39,55,number,Equivalent full-time students,
2011,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,25-39,40,number,Equivalent full-time students,
2012,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,25-39,55,number,Equivalent full-time students,
2013,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,25-39,45,number,Equivalent full-time students,
2014,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,25-39,70,number,Equivalent full-time students,
2015,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,25-39,100,number,Equivalent full-time students,
2016,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,25-39,100,number,Equivalent full-time students,
2017,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,25-39,80,number,Equivalent full-time students,
2018,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,25-39,150,number,Equivalent full-time students,
2019,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,25-39,130,number,Equivalent full-time students,
2010,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,40-*,200,number,Number of students,
2011,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,40-*,130,number,Number of students,
2012,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,40-*,175,number,Number of students,
2013,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,40-*,165,number,Number of students,
2014,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,40-*,175,number,Number of students,
2015,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,40-*,220,number,Number of students,
2016,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,40-*,215,number,Number of students,
2017,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,40-*,220,number,Number of students,
2018,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,40-*,205,number,Number of students,
2019,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,40-*,190,number,Number of students,
2010,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,40-*,25,number,Equivalent full-time students,
2011,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,40-*,20,number,Equivalent full-time students,
2012,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,40-*,35,number,Equivalent full-time students,
2013,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,40-*,40,number,Equivalent full-time students,
2014,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,40-*,45,number,Equivalent full-time students,
2015,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,40-*,55,number,Equivalent full-time students,
2016,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,40-*,55,number,Equivalent full-time students,
2017,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,40-*,55,number,Equivalent full-time students,
2018,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,40-*,75,number,Equivalent full-time students,
2019,Non-formal EFTS in language courses,New Zealand,English as a second language,ESOL,Female,40-*,65,number,Equivalent full-time students,
2010,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,Total,1655,number,Number of students,
2011,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,Total,1370,number,Number of students,
2012,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,Total,1290,number,Number of students,
2013,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,Total,1165,number,Number of students,
2014,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,Total,1345,number,Number of students,
2015,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,Total,1715,number,Number of students,
2016,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,Total,1805,number,Number of students,
2017,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,Total,1620,number,Number of students,
2018,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,Total,1790,number,Number of students,
2019,Non-formal students in language courses,New Zealand,English as a second language,ESOL,Female,Total,2235,number,Number of students,
